"","project","round","change","count","size","ratio"
"164","473659f174184","F1","ADD_CHAR",2,532,0.0037593984962406
"165","4737aa5a01a3b","F1","ADD_CHAR",2,991,0.00201816347124117
"166","47392d97aaee0","F1","ADD_CHAR",23,10483,0.00219402842697701
"167","473a39b1d835d","F1","ADD_CHAR",13,6304,0.00206218274111675
"168","473b37690afe3","F1","ADD_CHAR",21,4358,0.00481872418540615
"169","473c8d9b4084a","F1","ADD_CHAR",26,3842,0.00676730869338886
"170","473cf06b4bc87","F1","ADD_CHAR",13,5292,0.00245653817082389
"171","473d116379d73","F1","ADD_CHAR",3,75,0.04
"172","473d715a9c8c5","F1","ADD_CHAR",28,7531,0.00371796574160138
"173","4740386b82af5","F1","ADD_CHAR",1,1035,0.000966183574879227
"174","4740aa63616c9","F1","ADD_CHAR",3,705,0.00425531914893617
"175","4740d6ab59754","F1","ADD_CHAR",18,606,0.0297029702970297
"176","4740fc441c78d","F1","ADD_CHAR",12,6900,0.00173913043478261
"177","4741c4d413dd6","F1","ADD_CHAR",3,45,0.0666666666666667
"178","4741dcd822547","F1","ADD_CHAR",5,117,0.0427350427350427
"179","4741def554ca4","F1","ADD_CHAR",6,120,0.05
"180","4741e178064c7","F1","ADD_CHAR",4,403,0.00992555831265509
"181","4741e318be5b7","F1","ADD_CHAR",3,45,0.0666666666666667
"182","4743c37f8b64f","F1","ADD_CHAR",31,9544,0.00324811399832355
"183","4748bc3f129b0","F1","ADD_CHAR",3,45,0.0666666666666667
"184","4748c033b549d","F1","ADD_CHAR",6,72,0.0833333333333333
"185","4748c1fd5e56a","F1","ADD_CHAR",7,456,0.0153508771929825
"186","4748c3b80b045","F1","ADD_CHAR",3,33,0.0909090909090909
"187","4748c6957c5d4","F1","ADD_CHAR",3,45,0.0666666666666667
"188","4748c95eef9a4","F1","ADD_CHAR",2,26,0.0769230769230769
"189","474983a48b97e","F1","ADD_CHAR",9,123,0.0731707317073171
"190","4749a34646fcc","F1","ADD_CHAR",1,409,0.00244498777506112
"191","4749e69864520","F1","ADD_CHAR",38,9594,0.00396080883885762
"192","4749fab513889","F1","ADD_CHAR",18,8676,0.0020746887966805
"193","474a08c5c73ad","F1","ADD_CHAR",17,2071,0.00820859488169966
"194","474c3959c5ed2","F1","ADD_CHAR",13,5839,0.002226408631615
"195","474c395ccbcfa","F1","ADD_CHAR",28,11544,0.00242550242550243
"196","474c76f39c463","F1","ADD_CHAR",55,17596,0.00312571038872471
"197","474d582752c7e","F1","ADD_CHAR",8,4424,0.00180831826401447
"198","474d582fd5d05","F1","ADD_CHAR",1,560,0.00178571428571429
"199","474d5836b95a7","F1","ADD_CHAR",5,2370,0.00210970464135021
"200","474d7247c85e7","F1","ADD_CHAR",191,61666,0.0030973307819544
"201","474d724ce4bc9","F1","ADD_CHAR",149,52959,0.0028134972337091
"202","474e5b1bc8ab9","F1","ADD_CHAR",6,135,0.0444444444444444
"203","474e60097a61d","F1","ADD_CHAR",27,11559,0.00233584220088243
"204","47517fc21b9f7","F1","ADD_CHAR",4,369,0.010840108401084
"205","4751e4b883159","F1","ADD_CHAR",5,2181,0.00229252636405319
"206","4751e5b47866e","F1","ADD_CHAR",2,2097,0.000953743443013829
"207","4751e70670999","F1","ADD_CHAR",3,132,0.0227272727272727
"208","4751e84989aca","F1","ADD_CHAR",1,975,0.00102564102564103
"209","4752acc3d8b0b","F1","ADD_CHAR",1,933,0.00107181136120043
"210","4752ae1860816","F1","ADD_CHAR",5,2226,0.00224618149146451
"211","4754c06ba0b39","F1","ADD_CHAR",16,428,0.0373831775700935
"212","47551fec07d19","F1","ADD_CHAR",3,36,0.0833333333333333
"213","47555672654cf","F1","ADD_CHAR",22,5025,0.00437810945273632
"214","4755584edc8f4","F1","ADD_CHAR",15,2785,0.00538599640933573
"215","4755b410a5f26","F1","ADD_CHAR",5,491,0.010183299389002
"216","4755fb0d01120","F1","ADD_CHAR",3,102,0.0294117647058824
"217","4756d0717f6d2","F1","ADD_CHAR",27,3575,0.00755244755244755
"218","475742a33db99","F1","ADD_CHAR",9,3579,0.00251466890192791
"219","475764e8255de","F1","ADD_CHAR",38,2654,0.014318010550113
"220","4758ab21d5439","F1","ADD_CHAR",11,2518,0.00436854646544877
"221","47592166e7022","F1","ADD_CHAR",6,108,0.0555555555555556
"222","4759c4cea84f7","F1","ADD_CHAR",6,3683,0.00162910670648928
"223","475df0bcbd902","F1","ADD_CHAR",3,57,0.0526315789473684
"224","475df238f0b6d","F1","ADD_CHAR",4,3586,0.0011154489682097
"225","47615ee72802a","F1","ADD_CHAR",1,738,0.0013550135501355
"226","47642f5bcc6e7","F1","ADD_CHAR",14,28952,0.000483558994197292
"227","476435e6039b9","F1","ADD_CHAR",10,14394,0.000694733916909824
"228","476568ed23f09","F1","ADD_CHAR",8,11220,0.00071301247771836
